term	df	SumOfSqs	R2	statistic	p.value_PERMANOVA	Tot.variance_betadisper	Expl.variance_betadisper	p.value_betadisper
genotype_treatment	2	1055.101011569811	0.26839217230898904	3.851951417931798	0.009	576.1737557697468	0.024537150750478492	0.78
Residual	21	2876.0904329970367	0.7316078276910091	NA	NA	NA	NA	NA
Total	23	3931.191444566855	1	NA	NA	NA	NA	NA
