pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
WT Vehicle vs ASO Vehicle	1	0.2316352465163345	2.4466020102530646	0.14876033412420483	0.0035	0.0105	.
WT Vehicle vs ASO Fp	1	0.11074042836891582	1.186835524350505	0.07814896806168331	0.2499	0.2499	
ASO Vehicle vs ASO Fp	1	0.23637129978724125	2.3812413123853893	0.1453639114994906	0.0133	0.01995	.
