PCo	Effect	Estimate	CI_Lower_95	CI_Upper_95	P_Value
PCo.1	ACME	-13.630353436629814	-26.752739503714697	-0.46785139044057283	0.044
PCo.1	ADE	-2.477652794220674	-11.864308511220825	4.626918675012739	0.54
PCo.1	Total Effect	-16.10800623085049	-28.39119450260937	-2.977218197991722	0.012
PCo.1	Prop. Mediated	0.13051486697310982	-0.5101823032270038	0.8294502716101084	0.552
PCo.2	ACME	-18.388681642770575	-32.234708816430675	-4.685749525710903	0.006
PCo.2	ADE	2.3701397101969564	-3.500048646587092	11.64006353379517	0.464
PCo.2	Total Effect	-16.01854193257362	-29.513171173282274	-3.538893875273571	0.014
PCo.2	Prop. Mediated	-0.09717992726117258	-1.0479309842242088	0.22918085388902143	0.478
PCo.3	ACME	-16.121987435972144	-27.539106759558912	-5.112397348214154	0.006
PCo.3	ADE	0.06874533382535175	-5.530050561079057	5.636668297308586	0.956
PCo.3	Total Effect	-16.053242102146793	-29.161798617022956	-4.285266749163423	0.01
PCo.3	Prop. Mediated	-0.003396166400835644	-0.777782295790681	0.31860539754500844	0.966
