clade_name	ncbi_tax_id	5c7657ee-666d-4545-a5f4-e3b97972700c	ef1f9867-c5fc-4ba0-838d-848b58467b10	d479236c-8606-41ad-b8e4-006d816e0494	612c986d-545e-45af-8807-2df49f08a01a	0d28bae3-3b00-457b-a62c-3d9edb9fae8a	adbacf26-5d01-459f-86e0-1967c4c3c9eb	d25be762-5047-437f-a749-1049b8be57a3	4f381a59-5b94-4500-a3e0-66a29d472108	76bc6a3b-9d77-4a38-a663-d1472b59c043	dfc17ebb-83f0-4a37-a961-974e60e5f57e	2bcd07f9-960c-4bf9-a147-93daa514d7e8	fdb23de2-cc37-43b6-97a7-b63fa41b3fd2	bec7eb37-dfcd-41d9-bdfc-0bc5ba8f8330	36ff5b45-340f-4508-97f8-2db37a2c0c1a	0fe3ff8e-33c6-4901-8926-4a941a907c76	b1c1e4d6-33bc-4e44-b0ac-1dee48a9c90b	fd90b87b-1ece-4b8b-8bac-a373b6bfc0d2	8cafea18-38fb-4044-aa6e-e3575baf4f75	9e528736-741f-4de9-9adf-e99566a3ec5c	e35b993e-9261-4c7c-ac5d-5598630adf6f	69d5e82f-530b-4de1-b71c-d97e4fee1b23	8026eead-3968-4929-8ac4-126ead00a55d	5a6ae85c-b6fe-4bed-9d79-2fc3d722416f	667fd635-ee7a-4d22-a128-8d7567559348	3a95fb07-9cd4-4410-ab14-6e08cbe8fb4d	64cfc38a-c2fe-4a3c-a92b-4d5eec3c9bec	7eac574e-7a22-47fe-9e95-027a9469978d	5155defe-cf3b-434d-a79b-f97cbd8b7bb3	a55db179-101c-459f-8fbf-a4d0de76765b	888698af-80c8-466d-9e54-b0e61d24495a	40fcafa2-7823-4086-902c-76edd44c8ad7	e76d515a-fbc3-4b37-b542-c6fe625bd623	f498cd34-8ff0-4a82-b15d-8688abc9435d	216699da-5299-480f-87a1-4c4c5ae57e7b	c88e4fdb-0d46-4ae4-b1e8-98933a35feeb	672ea0fc-3873-4ec8-9d2d-57f3c422c197	135f44a7-adf5-43f1-8c2d-4ba8f92187a2	253c2ac0-4eed-4fd8-8b7a-9b091fdec2fc	e9749d55-fecc-4517-a466-9ead9e6d8413	6f87b662-221b-4811-8fe4-c5237d03d957	f3035faf-d71d-4cb0-bb63-64d7b3c38491	2f242b7c-f644-4a6d-ae13-41f3a2d6f125	c80e6d15-520b-4bd0-a67a-62f8a17c035e	a6a8e3b9-4007-4fe4-a891-b85a100f0b29	3eff4ead-173f-43c0-8bf3-928eda3af235	f47bfcd5-7b4b-4670-980b-3e4c9c4a88cf	4a571d8f-049d-4057-8034-883f1fc99ab2	700a1335-1157-4209-88da-172a9d744849
UNCLASSIFIED	-1	27.15002	23.73692	27.05513	25.67583	23.63186	27.34316	21.88874	23.52559	25.15276	27.63779	23.63838	26.28933	20.55774	19.80609	20.05215	19.53582	25.90127	24.01445	24.7339	24.40778	20.60027	20.1994	18.48839	21.83579	22.65058	23.1853	27.20602	22.81084	23.25402	22.60558	19.80932	27.02454	29.65289	16.47851	24.07704	27.88572	23.41127	14.70156	21.42879	17.96241	27.58807	21.72027	22.07858	24.41756	20.72365	22.99995	19.56522	21.27616
k__Bacteria	2	72.84997959616155	76.26307652065113	72.94487105861903	74.32417295171074	76.36813895406488	72.65683714914947	78.11126001041944	76.47441267165593	74.84723833424674	72.36220876526035	76.3616202445801	73.71067135468444	79.4422589859401	80.19391391287651	79.9478514760181	80.46418349927879	74.09872894674724	75.98554631819061	75.26610389594597	75.59221516254708	79.39972705447758	79.80059945856445	81.51161291913492	78.16420907165687	77.34941679599271	76.81470125625653	72.79397513434526	77.18915958841698	76.74598464032935	77.39441702908574	80.1906846725529	72.97546148341468	70.34710689215407	83.52149443823951	75.92295651331284	72.1142839511335	76.58872903110351	85.29843790353247	78.57120960112944	82.03759233255528	72.4119324849168	78.27972872560342	77.92141961272753	75.5824426177447	79.2763539081037	77.00004835846474	80.43478289869932	78.72383519293429
k__Bacteria|p__Firmicutes	2|1239	48.74345510792228	29.146314100354275	47.9127006148654	47.02748327534881	48.7266834228272	60.24636638980554	49.89147394988714	57.146491388818355	49.51662010227311	56.735025357174	58.79112450894522	55.859229318261434	39.11700289028557	65.01079217236021	58.783976285435124	66.26087917411824	53.40346523315048	55.52112658233015	57.71617097154124	51.7196342318225	45.43365129669625	56.134327198576685	40.77487202582924	45.61213015577642	44.0100545902169	58.67721399562924	57.01238691316947	51.94433688020178	51.48761478645041	43.99006564576969	38.91064525626649	51.99400924556448	46.58071670301704	31.984305730640507	61.14156925580553	53.07004817675396	45.49295447493098	45.12699356551942	59.94886649978367	31.35668746916321	55.51361599608643	57.2480713417365	45.52167775347151	53.091035046990626	54.128459546447466	59.09599711415453	36.6377620886174	57.631806755552006
k__Bacteria|p__Bacteroidota	2|976	17.027131026037363	42.924298930573535	20.853078541447186	19.09210368356094	20.23349403783483	6.000059737246482	22.635971394183468	15.35908280376904	18.34576167976422	6.9019074720305325	9.421489069614267	11.227771624222513	34.96700283466725	7.700869184617097	10.770094863740304	4.893791408334386	10.881857757949303	11.171911721415348	12.902273588661238	18.375704024642054	29.83959254303308	19.21220978126793	38.065474919364945	28.62176362397214	28.92358455513442	10.321814170436832	9.892198942329092	20.94925369603575	18.69461579532554	27.609552760447094	37.02241124241882	9.525939435291315	8.627720924788237	47.96215136396349	8.708993272616043	13.866754700965927	24.351708068101292	37.64667881481881	12.797317192267796	46.59549019154545	8.960129425398382	14.64423504715237	27.824585706694737	14.492147314549324	20.521651380630324	10.322641882945454	40.49859949384181	13.677014655792766
k__Bacteria|p__Bacteria_unclassified	2|	5.154966546195825	2.687983647662174	3.0716355754073885	5.89517042601084	5.798189855576212	5.249274841933176	4.136350529347758	2.7196518904008324	5.316766090349383	6.747406920095825	5.791295823997053	4.632214462076705	3.842264576984486	4.705161375270465	7.402371568164517	5.025640019416304	6.956233066189844	7.445284186340639	3.5680423414600457	4.1929641090791945	2.7573937211478974	3.271361734324283	1.662787996582601	2.003551905450152	2.412056478424557	4.658250883872787	3.935584427445835	2.9231303168654748	4.796792881186794	3.789617629829183	3.019500040660307	9.07231666916426	13.553537904747891	2.165227926115809	2.8497605804315467	3.679256344330041	5.549826095162144	1.5564491262695477	4.548306610027301	2.8869438929787865	5.351705247003256	4.994872930523303	3.43398137804898	5.849189185790551	3.588063633151555	5.749077710602561	2.271671312538226	4.676644536320897
k__Bacteria|p__Deferribacteres	2|200930	0.6394552659012273	0.17619058568566032	0.3832742360033019	0.6453716585742946	0.37668584539092503	0.38080901486612223	0.49703756969830104	0.3953727135124611	0.5220520026575376	0.9300859417016444	1.2497037322747	0.8073308701464521	0.4697500216097624	1.9129295836949736	1.7498266200407555	3.5245806762372585	1.7807480639211246	1.1364170350709637	0.3869806731810062	0.763821538109957	0.5285163431654245	0.3473959496229686	0.2950720387672684	0.7920457469440061	0.4070977155389891	1.3553493148458926	1.147480547632738	0.4341813037688867	0.4882963272740955	0.2341645481632018	0.15921058534888652	1.665095699759369	0.8776927138506495	0.1934858940156257	2.186930393183371	0.6069570823031102	0.34402891193481383	0.22512816715879327	0.47754795483470464	0.3229491859763371	1.9595972345203216	0.3219645242484069	0.20436450721830052	1.064321723966034	0.14530562907816327	0.8089317080346872	0.19225521808447116	2.2267036784321466
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.42672604048247587	0.24851086115019377	0.08019559124184576	0.00569323164810104	0.13511814825142698	0.16955199517125522	0.28575442249611743	0.1581796751700531	0.17810648834017354	0.04304104177357686	0.07232209053364182	0.04268584978149775	0.15977427127252275	0.05330489457788902	0.02954073112038868	0.04024013816798932	0.14222510034038668	0.06014255991084787	0.0988770806881042	0.05502357341681802	0.10882526590086695	0.07909037412338323	0.1674819110649465	0.22192382239624817	0.2279100565893925	0.18443209771627192	0.06967839299859528	0.11762856029678864	0.05917882875615796	0.20175176631142072	0.06486624483162805	0.04902491502455797	0.09344909679553748	0.4491451884910769	0.0599411741672605	0.06904942688321032	0.29776166072712423	0.0478183042887203	0.02951134632618421	0.07045388429519847	0.06064499345611783	0.09165773436480903	0.11770030432502494	0.10735730149424458	0.22675415508334903	0.16343260264084142	0.17484108758690275	0.01098984739293362
k__Bacteria|p__Proteobacteria	2|1224	0.3972290837439902	0.11578260277365256	0.2757753795242151	0.9401636257526648	0.35336301575435364	0.43459687140763753	0.2019957183869447	0.3255821645083079	0.23110581780465364	0.4734369870675923	0.40866448306291936	0.5722970234649054	0.24517469968240835	0.3560208808162153	0.942193424430021	0.30211886978474206	0.5295317466721399	0.35150153871331796	0.3897429391939874	0.19606352846709835	0.1611338060843568	0.19065161216645632	0.1776464091959626	0.21538147809695052	0.20679366580408648	0.6543767585319237	0.3928035692224405	0.29337283884769644	0.29326175650762654	0.20223161169700105	0.2866255642251059	0.3762687769546344	0.35727185177318294	0.1466219834863295	0.6994250522875919	0.4548536345933794	0.1763915018315345	0.11598028601743313	0.10376113939925154	0.1536974292350423	0.3546084745718861	0.3998058864931469	0.2550835592442249	0.4072911085342409	0.19400509328391136	0.5450910423344079	0.12089347869674508	0.2008166311936561
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.237541928469204	0.6662799943303207	0.14424848251841915	0.07482214491048719	0.2887021125019469	0.02772584905611543	0.10734830463231944	0.06894933046476498	0.3933446916179669	0.29635218977724725	0.4930288011091314	0.3319560084458213	0.3185078489523297	0.07994531277974659	0.1531241199320175	0.22349731608759676	0.24934963277869915	0.12392482749033708	0.04146409663627663	0.07037635231633134	0.16759694386659127	0.3393999295572205	0.16629999267761905	0.3552485138097733	0.7584032967430289	0.562176072614039	0.12995908380734658	0.2872363006604173	0.4612049946960593	0.3389798071456926	0.09183437208700758	0.0324156999909328	0.06871505401225611	0.3923338679741863	0.04723167124693192	0.1642763388406821	0.06743637591188664	0.1912390977797198	0.23629505575443663	0.188456757106346	0.08456265475588584	0.436659982777161	0.37711629449971745	0.39956658289870733	0.27281371670395727	0.0986986619858801	0.1088041308270706	0.06430950096910802
k__Bacteria|p__Actinobacteria	2|201174	0.22347459740918516	0.29772342442896993	0.223962637611278	0.6433574734873032	0.4558948791140811	0.1484524496631422	0.355312499535396	0.3011027050121109	0.324470262902793	0.23496009186080036	0.1339764627191158	0.23719356935223904	0.32278184248577324	0.3748824893685238	0.11671586836983884	0.1934358971322662	0.1553183457452769	0.1752378669190112	0.16255220458407452	0.21863536391463492	0.4030171345831174	0.2261628789255175	0.2019776256523244	0.34215600879027075	0.4035164375413348	0.40108796260954344	0.21389053713724665	0.24002741065614144	0.4650269447311477	1.0280609991641576	0.6355833476461871	0.2603910416651202	0.18800264316928175	0.22668568805482583	0.22909752127892152	0.20308824646318213	0.3086296013766378	0.38815054168002455	0.4295959456151353	0.4629053184956764	0.12706845912453202	0.14246910628059822	0.18690231708308827	0.17153435352097163	0.1990629246632484	0.2161699357615539	0.4299480450284175	0.23554958728077863
