kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28831	s__GGB28831_SGB41487	t__SGB41487	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.43749318938174087	0.8166790142114024	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28831	s__GGB28831_SGB41487	t__SGB41487	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.5759708316559662	0.8691381032382766	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41597	t__SGB41597	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.45317222800720147	0.8166790142114024	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41597	t__SGB41597	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.9812502861616359	1	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41597	t__SGB41597	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.44590003198284833	0.8166790142114024	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41597	t__SGB41597	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.9084783740824711	0.9853196053383795	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41595	t__SGB41595	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.0010374059189268703	0.15103742564694322	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41595	t__SGB41595	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.0843015101960527	0.6155307589612948	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41595	t__SGB41595	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.8710557280598881	0.9851862416927147	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41595	t__SGB41595	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.02924606745642988	0.5667237960445968	All logistic values are the same	logistic	48	48
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28901	s__GGB28901_SGB41592	t__SGB41592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41609	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.6338451200481694	0.8952415510972492	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41609	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.29154361411530605	0.7508222420643333	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41609	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.2982450646295791	0.7508222420643333	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41609	treatment	F. prausnitzii	treatmentF. prausnitzii	NA	0	NA	NA	NA	0.3781655622830231	0.7967607201847139	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41615	cohort	Fp7	cohortFp7	NA	0	NA	NA	NA	0.4545154730762304	0.8166790142114024	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41615	genotype	Thy1-ASO	genotypeThy1-ASO	NA	0	NA	NA	NA	0.6438058140455554	0.8952415510972492	All logistic values are the same	logistic	48	48
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41615	treatment	benCom	treatmentbenCom	NA	0	NA	NA	NA	0.33024534873478806	0.7680868237189894	All logistic values are the same	logistic	48	48
