kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Firmicutes	c__CFGB2838	o__OFGB2838	f__FGB2838	g__GGB28418	s__GGB28418_SGB41001	t__SGB41001	treatment	F. prausnitzii	treatmentF. prausnitzii	2.5537914959226433	0.2959982942359748	0.7496952701700151	0.01149135411371216	0.3798194938637493	0.022850657008057603	0.41650515728323173	NA	linear	16	14
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28956	s__GGB28956_SGB41665	t__SGB41665	treatment	F. prausnitzii	treatmentF. prausnitzii	-1.2935719553144829	0.2959982942359748	0.5514049107202563	0.013422310707963514	0.4214605562300543	0.013422310707963514	0.35882310625955793	NA	linear	16	16
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides_acidifaciens	t__SGB27814	treatment	F. prausnitzii	treatmentF. prausnitzii	2.9275004538747043	0.2959982942359748	0.9550546314074281	0.016086513273003256	0.4810633493069545	0.016086513273003256	0.3794524601455474	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB3793	s__GGB3793_SGB41498	t__SGB41498	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.9233208209598057	0.2959982942359748	0.11846748403579072	0.017750717481696432	0.4846717642828417	0.03518634699227785	0.4865422463414972	NA	linear	16	4
k__Bacteria	p__Firmicutes	c__CFGB9508	o__OFGB9508	f__FGB9508	g__GGB28384	s__GGB28384_SGB40964	t__SGB40964	treatment	F. prausnitzii	treatmentF. prausnitzii	3.073048181270959	0.2959982942359748	0.5668107640300193	0.017169999494630384	0.4846717642828417	0.03404519010661516	0.4865422463414972	NA	linear	16	5
k__Bacteria	p__Firmicutes	c__CFGB9512	o__OFGB9512	f__FGB9512	g__GGB28398	s__GGB28398_SGB40979	t__SGB40979	treatment	F. prausnitzii	treatmentF. prausnitzii	2.399733672663433	0.2959982942359748	0.793026147466728	0.01987182466929671	0.5199794121799306	0.01987182466929671	0.3987585485040564	NA	linear	16	16
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__GGB9439	s__GGB9439_SGB42949	t__SGB42949	treatment	F. prausnitzii	treatmentF. prausnitzii	1.2908254619666368	0.2959982942359748	0.5147514229808826	0.08815478881384031	0.5288558046055771	0.16853831083686785	0.5378574306439043	NA	linear	16	12
k__Bacteria	p__Firmicutes	c__CFGB9575	o__OFGB9575	f__FGB9575	g__GGB28632	s__GGB28632_SGB41253	t__SGB41253	treatment	F. prausnitzii	treatmentF. prausnitzii	-2.499592753370677	0.2959982942359748	1.1518751945205772	0.03101735448312859	0.5288558046055771	0.06107263268712512	0.5044521342042236	NA	linear	16	15
k__Bacteria	p__Firmicutes	c__CFGB9633	o__OFGB9633	f__FGB9633	g__GGB28881	s__GGB28881_SGB41561	t__SGB41561	treatment	F. prausnitzii	treatmentF. prausnitzii	-0.9006834297429698	0.2959982942359748	0.5776151397707913	0.06105044549035599	0.5288558046055771	0.06105044549035599	0.5044521342042236	NA	linear	16	16
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41629	treatment	F. prausnitzii	treatmentF. prausnitzii	-2.1767583633330867	0.2959982942359748	1.1472783585647062	0.07556874722332019	0.5288558046055771	0.14542685888973833	0.5378574306439043	NA	linear	16	8
