Domain	Phylum	Class	Order	Family	Genus	Species	SGB	altNames
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp001689685	SGB21441	UBA7173 sp001689685 [SGB21441]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella sp001689575	SGB21445	Duncaniella sp001689575 [SGB21445]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella muris	SGB21446	Duncaniella muris [SGB21446]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002933775	SGB21581	Prevotella sp002933775 [SGB21581]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum intestinale	SGB21584	Paramuribaculum intestinale [SGB21584]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes timonensis	SGB2299	Alistipes timonensis [SGB2299]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002493045	SGB27761	CAG-485 sp002493045 [SGB27761]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485	SGB27763	CAG-485 sp002362485 [SGB27763]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp004102805	SGB27766	UBA7173 sp004102805 [SGB27766]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305	SGB27767	UBA7173 sp002491305 [SGB27767]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella freteri	SGB27768	Duncaniella freteri [SGB27768]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis_A	SGB27780	Parabacteroides distasonis_A [SGB27780]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp002491635	SGB27790	Bacteroides sp002491635 [SGB27790]
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	SGB27814	Bacteroides acidifaciens [SGB27814]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	Lawsonibacter sp003612335	SGB29335	Lawsonibacter sp003612335 [SGB29335]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	Butyribacter sp003611745	SGB29416	Butyribacter sp003611745 [SGB29416]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Choladousia	Choladousia sp003612585	SGB29418	Choladousia sp003612585 [SGB29418]
Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus sp003612625	SGB29420	Anaerotruncus sp003612625 [SGB29420]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	C-53	C-53 sp003612525	SGB29421	C-53 sp003612525 [SGB29421]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ventrimonas	Ventrimonas sp003611875	SGB29422	Ventrimonas sp003611875 [SGB29422]
Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95 sp003612395	SGB29425	CAG-95 sp003612395 [SGB29425]
