5c7657ee-666d-4545-a5f4-e3b97972700c	ef1f9867-c5fc-4ba0-838d-848b58467b10	d479236c-8606-41ad-b8e4-006d816e0494	612c986d-545e-45af-8807-2df49f08a01a	0d28bae3-3b00-457b-a62c-3d9edb9fae8a	adbacf26-5d01-459f-86e0-1967c4c3c9eb	d25be762-5047-437f-a749-1049b8be57a3	4f381a59-5b94-4500-a3e0-66a29d472108	76bc6a3b-9d77-4a38-a663-d1472b59c043	dfc17ebb-83f0-4a37-a961-974e60e5f57e	2bcd07f9-960c-4bf9-a147-93daa514d7e8	fdb23de2-cc37-43b6-97a7-b63fa41b3fd2	bec7eb37-dfcd-41d9-bdfc-0bc5ba8f8330	36ff5b45-340f-4508-97f8-2db37a2c0c1a	0fe3ff8e-33c6-4901-8926-4a941a907c76	b1c1e4d6-33bc-4e44-b0ac-1dee48a9c90b	fd90b87b-1ece-4b8b-8bac-a373b6bfc0d2	8cafea18-38fb-4044-aa6e-e3575baf4f75	9e528736-741f-4de9-9adf-e99566a3ec5c	e35b993e-9261-4c7c-ac5d-5598630adf6f	69d5e82f-530b-4de1-b71c-d97e4fee1b23	8026eead-3968-4929-8ac4-126ead00a55d	5a6ae85c-b6fe-4bed-9d79-2fc3d722416f	667fd635-ee7a-4d22-a128-8d7567559348	3a95fb07-9cd4-4410-ab14-6e08cbe8fb4d	64cfc38a-c2fe-4a3c-a92b-4d5eec3c9bec	7eac574e-7a22-47fe-9e95-027a9469978d	5155defe-cf3b-434d-a79b-f97cbd8b7bb3	a55db179-101c-459f-8fbf-a4d0de76765b	888698af-80c8-466d-9e54-b0e61d24495a	40fcafa2-7823-4086-902c-76edd44c8ad7	e76d515a-fbc3-4b37-b542-c6fe625bd623	f498cd34-8ff0-4a82-b15d-8688abc9435d	216699da-5299-480f-87a1-4c4c5ae57e7b	c88e4fdb-0d46-4ae4-b1e8-98933a35feeb	672ea0fc-3873-4ec8-9d2d-57f3c422c197	135f44a7-adf5-43f1-8c2d-4ba8f92187a2	253c2ac0-4eed-4fd8-8b7a-9b091fdec2fc	e9749d55-fecc-4517-a466-9ead9e6d8413	6f87b662-221b-4811-8fe4-c5237d03d957	f3035faf-d71d-4cb0-bb63-64d7b3c38491	2f242b7c-f644-4a6d-ae13-41f3a2d6f125	c80e6d15-520b-4bd0-a67a-62f8a17c035e	a6a8e3b9-4007-4fe4-a891-b85a100f0b29	3eff4ead-173f-43c0-8bf3-928eda3af235	f47bfcd5-7b4b-4670-980b-3e4c9c4a88cf	4a571d8f-049d-4057-8034-883f1fc99ab2	700a1335-1157-4209-88da-172a9d744849
10985.8103882021	5973.89319998	11281.0370567495	8831.0135490343	10099.360834761	8525.115303228	8738.2207253676	9215.3446781514	9770.7275292853	9658.8837258339	12220.0621694226	10691.580262113	7453.3111653335	8745.6808574696	9704.7516353835	10657.0391289878	9438.7677502951	11999.5341899499	12697.8128853764	7860.9561879232	12162.2776516698	10014.1317493277	9126.0736239056	12589.141262434	6578.2934536601	9275.9834785886	8008.718523726	10048.9933188219	11341.9199235506	9575.2215093834	10386.3758964007	8078.9440575349	11633.484950505701	7760.3371617788	11502.4586052419	12563.2306250787	8788.7517817878	11264.9620225338	14499.7408515296	11300.0487584363	12087.4162511507	11374.4836802626	8287.4847257015	8197.0685299604	11821.2833533427	10378.198457145	8925.4869479277	12651.1434969114
10262.1777188382	5569.4508244136	9813.0456851047	7552.0694850512	9272.1136297781	7396.6064181554	7799.9797017455	8573.4529678461	8899.3101347957	9072.8638524262	11402.8497493579	9348.2213475175	6898.9647243748	7935.8608964745	8866.2220751341	9669.9382540836	8542.5036278336	10868.0289314518	11252.3342009524	7139.7857049134	11396.987958454	9256.4222036726	8453.4368329474	11199.9425915073	5794.148230164	8377.2551251329	7270.8483524991	9012.4585335288	9986.6182783308	9153.405481446	8920.385096934	7013.2702775847	9955.5630752506	7180.4865511937	10559.5989122302	11136.8597635434	7975.6468978543	10565.4119277995	13511.5463230045	9041.9146241428	10838.4306788815	10450.1513928056	7696.8917269756	7559.0670363982	10608.6444510231	9129.6853470623	7882.8648945284	12168.1415013087
9776.2138605867	7208.3672177574	10557.5332377432	8206.9947668335	9965.89148173	7220.9686511743	7996.3044957821	8512.2188070742	9016.1433845518	8207.3579702447	10182.561474968	9094.2094464288	8826.12344031	7469.0077284972	7929.1913723221	9127.7165086144	7988.0812301953	10104.2843702713	10725.8108440035	7372.2795651732	11895.6063958127	9335.8362583223	9507.6445321356	13523.7291734383	6844.1441021725	8296.5517157155	6660.8061605149	9492.1061680483	10508.7618532546	9785.409699409	10149.0675175754	6993.499242159	10185.4910059703	9702.8608410482	9717.816135038	10884.8511662886	8660.6272071751	11829.9336350661	11727.429855918	10670.9680546165	10200.0051410555	10173.9359223057	8460.2018950238	7324.639113867	10799.201093306	8547.315356133	9124.6483235429	10604.3779855952
9709.2486633565	7528.9883897438	9803.9545908536	8640.0503119279	9207.4051445803	7527.0622737352	7453.3757211763	7766.3457338953	8641.5847419855	9338.1414578591	10724.0096187236	9621.8748545049	8442.5845705124	8290.0503507592	8754.9992310259	9896.4254646487	7811.9444658154	9916.483620121	10641.3006937252	7052.2124613249	9793.465930061	6996.0179287509	9071.9316635184	13284.2491041706	6517.240608447	8036.9856772363	6685.6255850421	9093.9655906939	10221.1263216659	8682.2019275444	9453.8097383071	6586.7750372395	10146.8028739958	9437.6858485087	10672.453649473	10968.598726858	8223.0689736135	10990.9580982656	7929.5564605529	10937.5705838676	10576.792310901	9629.3521344037	8065.1185646746	7217.9755780243	10290.3729542112	8480.2823319374	9111.8510608674	8529.0811882741
9619.7215825076	4754.8754444129	8558.9465150886	8739.2907819905	9664.7599475093	7040.6269671112	7396.5646400137	7619.4619330827	8306.668759101	9956.1623775582	11899.7259569271	10329.894397296	6799.7400726851	8353.0027352045	8823.2016304932	9792.6141959699	8093.7425540977	10932.7220707817	9904.2685647408	6391.0751925884	9711.8418797153	8789.7091113987	6663.7732446039	9956.4623425211	5266.4673710749	8691.5783040883	7239.499870919	8379.2524045525	9431.2685600747	7895.0902742097	8402.3670323402	7481.9035249944	11937.26814179	5106.8157546929	11164.0231009641	11308.5187757475	8119.2414579622	7223.6349014927	10833.6428429325	7379.1540520171	10004.4116972575	10174.4046390288	7002.7825112993	7514.0403425534	9397.168814076	8955.5055724029	6813.1078856883	10850.8661180115
9603.4671819264	4574.5665852503	8702.6463787706	8350.4889410831	8471.2253320201	7234.7558203209	6586.4402430541	7099.8554472336	8200.638835459	9057.350521255	10887.6886280868	9648.8887866555	6120.3364855131	8285.3361777804	8901.6787773555	10233.7981489305	8498.4236070973	10855.6456098872	11012.9900987043	6098.3623819878	8361.3837137306	7676.8367306968	5973.7588604018	9376.3407272529	5366.8272899505	8609.3719667601	6881.9298784818	8407.9816853612	9619.7862738029	6533.7436492324	5754.3144501203	7561.9693204736	10305.7823683268	5315.6965939312	10681.3935014205	11405.8727547105	7180.348232101	6458.3230034407	8520.0952725482	5916.9565365271	10016.599727483	9656.8545196203	6582.6698630787	7228.063128932	8839.5320968777	9060.4411227321	4951.2408145327	8903.606905203
9519.5065692565	4677.1172364883	8642.4245160229	8157.9653890762	8438.6105505054	7139.0270185315	6519.5784865166	7166.8833524264	8206.2390415444	8942.3813378854	10802.5019835223	9515.3734970809	6231.815573631	8206.294742552	8744.8555134027	9959.277949031	8331.1758572517	10675.2622286328	10926.1449047393	6192.7237899169	8488.2530646239	7760.057763204	6136.8946337181	9531.6178968076	5357.1692239453	8427.500697024	6787.7571799098	8322.6264106031	9571.0968550632	6791.3724857128	6324.0011613478	7357.2571762916	10151.1635554478	5609.9280124178	10367.1803806988	11161.7018105133	7188.5296159937	7029.883132933	8871.3507749457	6234.5620242771	10100.4298448295	9754.5986581249	6789.0276485961	7181.480040817	9077.8725235703	8892.8218534788	5381.6062443438	9166.2432456932
9352.0081191307	5894.7542037333	8923.1963924711	8217.6216707394	9070.6584028628	6863.4911764688	7778.9338474114	7360.2434984578	7872.4296903813	8520.2012932766	10416.7189225851	9292.7659946698	7408.4369985965	7491.6333430109	8063.3346641132	8747.2734796178	8345.9791902634	9477.1625135416	10874.0801660088	6099.794899332	9185.961735685	6767.9370919801	7478.1926487693	10793.2689854378	5926.8931591374	7788.325519249	6913.8026916244	7231.6905969063	9156.2491913868	7843.0069790365	7628.0293927867	6959.0022149378	9884.5594741372	6783.2176491697	9387.6488579368	10738.5759683896	7326.4517097719	7280.770862364	8340.2170455646	8223.5526303015	9896.0655911638	8932.5536479635	7214.2405501116	6548.3085577751	9250.4505580371	8939.020729139	6807.7720523698	8219.0176569898
8605.493686887	4264.1623931671	7612.7123805398	6788.7919384823	7527.6828711198	5934.4380896786	5230.2279713078	7218.4017245833	7388.3115085076	8025.3168854838	9819.1650364642	8605.9714674949	6204.4692394358	7030.0000110596	7715.664175534	9493.8740471294	7678.0084409275	9389.272375909	9786.251784512	6451.2271669413	8995.6541926307	7530.1076497726	6479.0719384496	8593.3792699626	5234.9924293382	7581.5210050773	5603.0561737774	7576.9793472308	8077.7115086845	6006.5821200526	5519.383547753	6616.8295888764	8473.8882780501	6106.3614121035	8717.6019196041	9327.2383474394	6468.9901284144	7070.4517971517	9239.8832840325	7250.9307711936	9421.3540197812	9615.8374470943	7015.4947949186	6367.7554546895	7782.6938377588	7804.8911211812	5028.692033817	9967.7430495912
8567.0071469941	6850.2898627327	9528.3503908111	7105.9150082211	8836.9244031257	5989.7572219824	7427.4642124184	7898.4668303184	7982.9932496981	6349.7323111549	8443.6296183296	7423.763717926	8762.983156636	6219.2459016339	6843.387887649	6914.3818138808	6379.5003745319	7788.6645770493	9405.9975849304	6495.9059450909	10750.2071381184	8265.570964039	9257.8297467488	12588.2482328394	6093.1699558868	6877.2246414508	6073.8537873056	8373.6488303336	8943.4927489186	9526.1495015541	9851.1393839974	5613.6373460601	8066.7365937755	9651.7297550321	8408.0163302975	9569.7058393674	7608.3621928764	11830.725126976	10809.6657297591	10425.4912126348	9108.1457243995	8542.7090465722	7726.8997601492	6074.7161705879	10004.4382042407	7290.6507511584005	9053.3865123981	9727.4235633012
8455.9266481349	4244.0765413757	7406.267094299	6628.8483229742	7448.3850009831	5767.0327004393	5140.2950140822	6966.6218159974	7229.5863938876	7925.3427669558	9662.056743699	8460.0723425066	6169.138424694	6935.642298248	7564.7255636588	9359.2332580605	7557.1728644618	9232.9293761054	9568.027011124	6253.0808137731	8770.5835565631	7339.1132767698	6414.3405713549	8417.0099161453	5140.7582892329	7401.1081694802	5470.3797784674	7411.5777395086	7949.0299862966	5891.377584513	5416.1718863562	6434.3078623285	8246.2968725569	6056.232473402	8560.3360395053	9102.4297278613	6372.1230617243	7019.6877518292	9018.8567791617	7242.8427795526	9204.9264466493	9373.5875699045	6900.2874881129	6278.3445464983	7665.0925587287	7693.0826051595	4976.6182189345	9736.3231782876
8342.257407399	5462.0119475052	7608.0491098475	6901.1967368176	8572.0829062269	5304.2743506368	6719.3570747161	7170.7265593666	7418.906884955	7096.9745955704	8057.3379573563	7022.2669759977	7672.5498577372	6261.6456636871	6646.2027246095	7123.3077409432	6610.1567801656	8056.3788732164	8505.4243194655	6096.774329883	9936.9538706177	7790.8539910319	7984.4195882878	10574.8086963271	5142.3510231831	6329.81358664	5843.6895938327	7244.0747038389	7587.5053441134	7898.5286023784	8757.1548863866	5578.7406569118	7537.463618017	7643.0737911531	8172.472659395	8953.0891610732	7277.7184619962	9048.8085419256	10395.4366098862	9043.6347726027	7860.5648708372	8012.771391576	6775.9645063069	5950.4728921202	8162.0453900309	7003.7286471622	7448.1502238351	9507.8596067319
8197.9905567503	5270.5011560925	7408.1711624282	6650.3935051538	8438.4460664792	5165.7195868911	6637.8647602093	6919.6655196557	7280.5931021639	6991.0737639124	7925.5167546673	6767.8053521348	7476.1731231795	6200.5244055111	6467.1423381116	6923.5545391871	6484.7542988465	7907.9904101885	8317.3857662163009	6014.382873735	9721.9363403813	7705.8014704755	7850.1505219719	10198.7032132731	4975.7361428827	6124.5670705482	5702.8960609565	7009.5718940081	7267.6402995788	7765.3593620268	8621.6324795685	5420.1534998937	7210.6965254727	7307.4042785163	8015.9726449169	8778.2874774755	7240.6410017598	8729.2229811308	10249.49354456	8684.6626822864	7559.7790491565	7810.8031483855	6625.1538520205	5852.1589426101	7958.8990933604	6881.4230307692	7281.4787798886	9508.7605274526
8082.2890803738	4165.1772772933	6297.9747816062	6752.777093048	7168.9260094672	4935.2587255445	5773.8126575357	5624.2560290188	6163.7584655184	5764.3108409899	7770.8671232434	6815.5229918752	6189.6442420679	7235.320437964	8298.8358415827	8015.2285531888	6668.2210412396	7483.2649130273	8211.8860056104	5037.2242718814005	8363.7403438698	6856.3376869188	6264.7066930347	7603.4175094554	4253.415621316	6716.4050400618	5661.1886222125	7248.9393136983	8005.3281378532	5669.9775791172	5567.2484260555	5736.7385804883	6998.6306110001	6042.4889549774	8644.499202718	8471.7920871039	5880.8978682669	6624.4770665245	7439.2788900938	8049.6813217697	7282.8784450961	7256.4384641	5314.844427268	5121.7103696986	7863.4722987072	6974.62103797	5268.3421045615	7821.2042857242
8004.4571344331	6497.2512027431	8006.3521349379	6399.4669820433	7203.8164037205	4958.2567643292	5468.9754687022	6874.3379922311	6887.3468550657	6363.8476300546	7627.3521752485	6787.5444663434	7676.3030549757	6432.9150264986	6715.6747576938	7654.6936229833	6552.4614278071	7928.3642216492	8257.6878012847	6198.9764367287	9739.2340304898	8333.3562168961	8318.5694988928	11640.8615595544	5627.9159721078	6341.8645548118	5558.1602789114	6877.2239744484	7554.7869203667	7283.5534895468	7809.1514116529	5694.7750656529	7292.7461457283	9438.5187436016	8118.0768701623	8516.4182387153	6692.9488925556	11917.1242672847	12115.5307628862	10589.0689228398	7987.2399198916	7862.3680352569	6097.355760526	5584.7671351338	7776.6382171468	6748.2525759753	7883.7145737958	10821.4904279762
7866.146383654	3220.8230198246	6297.5459263163	6845.2156292819	7544.0894201355	5310.7713372008	5643.9434569393	6391.4528094318	6760.0157517269	7917.6949382018	8916.3375005443	7745.1495740224	5830.7195255342	6782.9973508986	6184.7601686388	7804.8629760702	5703.421217179	7616.7010763311	7992.3196106378	5133.7281570601	7770.1683725695	6632.6822365695	5238.0551085199	8128.3724679827	3655.8388977097	6339.1040540236	4786.4060569268	5890.5612674414	7349.2952643545	6280.0898049752	6207.5352036426	6005.0996699715	9808.2787141557	3691.2189679589	7304.7559495344	7778.8173548881005	5727.4383709477	5391.210162771	10277.0622433182	5902.0216131924	8269.0045696062	7346.8770136472	5164.1019777967	5096.7402266186	7328.2156187397	6699.0465046316	5077.8740993669	9149.0389202689
7803.600643811	5359.1105575436	7976.7694211997	6966.3537270286	7794.4175393005	5092.6175576698	6425.2286505249	6652.8819220918	6610.4614262622	6290.291133105	8076.1661822722	7317.3883223218	6888.0910115134	5997.191853611	6546.6826401631	6981.9109365329	6583.8102065524	8063.1790795613	8347.1829231181	5827.0295713259	8934.2378407871	7224.4025134831	6991.6595573163	9484.2814150617	5019.4777339106	6404.4550238357	5174.5230386477	7028.7416558657	7819.2496348764	7077.153853175	7461.4421413443	5329.24970476	7442.4899195731	6645.5568939081	7541.7352741193	8181.4465780048	6929.7014852143	8471.1741888508	9017.4420193884	8502.6524037217	7844.7388073085	8092.515633093	6607.1245866559	5776.6738352746	7909.9007993423	6916.1340584746	6397.6435023523	8784.0673954889
7773.2462724427	3634.714997458	5988.8185507109	6491.5437178583	6391.208801159	5399.6109967758	4978.7379675744	5013.7743139551	6330.1209258552	7675.1047906043	9133.5656187807	7638.448217992	4539.1412490167	6561.5556817508	7080.5611607818	7760.49470106	6860.5513408588	8570.0724712861	8981.8402302694	4690.398234725	5899.6976005408	5357.7527776345	4138.4471903833	6554.8401555869	4082.6762166953	6654.1106751543	5317.4208885333	6321.4386685105	7292.3836433851	4235.5625722818	3973.1524024139	5558.0141339968	8409.2429742688	3431.1784436283	8340.3248847471	8770.2092617983	5645.5331228173	4108.2827367124	5280.7002326092	3707.89430564	7701.4528676834	7968.59047849	5183.9920889302	5760.1696700082	6512.516491675	7242.2843423204	3247.5859563156	6619.3482946259
7513.191927827	5988.5410593144	8509.0196523237	6739.6986788484	8324.1478208779	4835.048319541	6660.9999988155	7783.9423692974	6827.7547774782	5003.2769044739	7103.8124024022	6770.7538575748	8510.0522295809	5567.7305046512	6177.6624537607	6247.6378231358	6571.9300126071	7300.1039294192	8336.2038438762	6272.5593122327	10307.6740208565	7777.2381032255	9231.5188195752	11365.6980620765	5446.6013746118	6192.8710977309	6182.6535047753	7868.7972379383	8057.036459502	8418.5807696829	9196.1201113591	5329.6323025039	7553.9472703478	8656.4387380203	7311.9693763624	7647.1124392357	7121.1303520503	10127.0287897899	11084.1153722338	10219.9044412595	7827.2752662886	8308.9537103768	7030.4823275786	5849.9814694947	8168.4628219845	6209.9097047805	7882.1396818533	9145.0253598108
