pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
WT Vehicle vs ASO Vehicle	1	193.98107677821423	0.9723201963018174	0.06494118370123968	0.4114	0.5176	
WT Vehicle vs ASO benCom	1	132.2213256786491	0.6812302104866488	0.046401439165503516	0.5176	0.5176	
ASO Vehicle vs ASO benCom	1	587.3619221807421	3.5569719216757254	0.20259597939461937	0.0384	0.1152	
