pairs	Df	SumsOfSqs	F.Model	R2	p.value	p.adjusted	sig
WT Control vs Thy1-ASO Control	1	0.11053779355997874	1.015580112058502	0.06763508998516309	0.3958	0.3958	
WT Control vs Thy1-ASO benCom	1	0.11206788545982513	1.149863010064961	0.07589923481823159	0.2985	0.3958	
Thy1-ASO Control vs Thy1-ASO benCom	1	0.18352367019621224	1.6518844102710057	0.10553901159575482	0.0831	0.24929999999999997	
