"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"t__SGB29418"	"treatment"	"Fp"	"treatmentFp"	0.169005858363999	0.292118705312011	1.1456931698476	0.91608840961133	1	0.91608840961133	0.951504198642696	NA	"abundance"	16	16
"t__SGB40184"	"treatment"	"Fp"	"treatmentFp"	0.277319102037365	0.292118705312011	0.349118001454747	0.967944501836947	1	0.967944501836947	0.990054909239314	NA	"abundance"	16	16
"t__SGB40368"	"treatment"	"Fp"	"treatmentFp"	0.241179276364402	0.292118705312011	0.761100717253648	0.947864884646314	1	0.685870331390736	0.835062669336761	NA	"abundance"	16	15
"t__SGB41425"	"treatment"	"Fp"	"treatmentFp"	0.443296781102558	0.292118705312011	1.34756262491502	0.9149669650021	1	0.86018733818907	0.907475123796323	NA	"abundance"	16	7
"t__SGB41443"	"treatment"	"Fp"	"treatmentFp"	0.371472594058997	0.292118705312011	1.7909836089686	0.966353866863901	1	0.86018733818907	0.907475123796323	NA	"abundance"	16	7
"t__SGB41508"	"treatment"	"Fp"	"treatmentFp"	0.193951829508642	0.292118705312011	1.0043316354662	0.92391243636908	1	0.444864356434043	0.673986224221502	NA	"abundance"	16	14
"t__SGB41555"	"treatment"	"Fp"	"treatmentFp"	0.138128846975885	0.292118705312011	1.37596182356502	0.915215880616524	1	0.860187338189069	0.907475123796323	NA	"abundance"	16	7
"t__SGB41589"	"treatment"	"Fp"	"treatmentFp"	0.364108482015902	0.292118705312011	0.502130713713936	0.890642545004398	1	0.295083877161242	0.54054001134537	NA	"abundance"	16	13
"t__SGB41597"	"treatment"	"Fp"	"treatmentFp"	0.239596720708791	0.292118705312011	0.529399391313417	0.923515529382078	1	0.923515529382078	0.95429938036148	NA	"abundance"	16	16
"t__SGB41611"	"treatment"	"Fp"	"treatmentFp"	0.28184959648996	0.292118705312011	0.364710005609724	0.978819583759131	1	0.444864356434042	0.673986224221502	NA	"abundance"	16	14
"t__SGB41617"	"treatment"	"Fp"	"treatmentFp"	0.295082645792553	0.292118705312011	1.42251372197076	0.998395037028843	1	0.86018733818907	0.907475123796323	NA	"abundance"	16	9
"t__SGB41663"	"treatment"	"Fp"	"treatmentFp"	0.250671263631017	0.292118705312011	0.799974835877711	0.959592759516755	1	0.959592759516755	0.984009878079523	NA	"abundance"	16	16
"t__SGB41672"	"treatment"	"Fp"	"treatmentFp"	0.214896694932861	0.292118705312011	1.14065215133159	0.946947680732181	1	0.946947680732181	0.973520192181298	NA	"abundance"	16	16
"t__SGB41705"	"treatment"	"Fp"	"treatmentFp"	0.289154764831469	0.292118705312011	0.599146534156281	0.99625339985234	1	0.999985962987334	0.999999999999999	NA	"abundance"	16	8
"t__SGB41718"	"treatment"	"Fp"	"treatmentFp"	0.130921106141133	0.292118705312011	1.31514797207274	0.904226896797777	1	0.904226896797777	0.944050361164518	NA	"abundance"	16	16
"t__SGB42493"	"treatment"	"Fp"	"treatmentFp"	0.193636524676736	0.292118705312011	1.55210830448769	0.950345646868125	1	0.685870331390738	0.835062669336761	NA	"abundance"	16	15
"t__SGB44463"	"treatment"	"Fp"	"treatmentFp"	-0.0233824352510007	0.292118705312011	4.71129464430421	0.957451614299483	1	0.800475232505212	0.888681869695871	NA	"abundance"	16	3
"t__SGB45057"	"treatment"	"Fp"	"treatmentFp"	0.314670403949996	0.292118705312011	0.569130546054301	0.969652011261081	1	0.844517876575451	0.907475123796323	NA	"abundance"	16	11
"t__SGB65042"	"treatment"	"Fp"	"treatmentFp"	0.237568072388416	0.292118705312011	1.17682373983751	0.965292682328538	1	0.543633029756828	0.717030462292303	NA	"abundance"	16	6
"t__SGB7041"	"treatment"	"Fp"	"treatmentFp"	0.471374947296305	0.292118705312011	1.69268354728859	0.917521243486256	1	0.800475232505212	0.888681869695871	NA	"abundance"	16	13
"t__SGB8526"	"treatment"	"Fp"	"treatmentFp"	0.357273343377057	0.292118705312011	6.0254044590428	0.993117349800379	1	0.800475232505212	0.888681869695871	NA	"abundance"	16	3
"t__SGB86230"	"treatment"	"Fp"	"treatmentFp"	0.326266762611324	0.292118705312011	0.312614963645219	0.918860029972393	1	0.918860029972393	0.951929542619215	NA	"abundance"	16	16
"t__SGB102250"	"treatment"	"Fp"	"treatmentFp"	2.80338409594841e-15	0	1.36962054445317	0.999999999999998	1	0.999999999999998	0.999999999999999	NA	"prevalence"	16	2
"t__SGB102412"	"treatment"	"Fp"	"treatmentFp"	1.96400079749107e-15	0	1.09949443313215	0.999999999999999	1	0.0754706498426153	0.506911198109566	NA	"prevalence"	16	4
"t__SGB102469"	"treatment"	"Fp"	"treatmentFp"	-3.58069854774736e-15	0	1.36962054445317	0.999999999999998	1	0.999999999999998	0.999999999999999	NA	"prevalence"	16	2
"t__SGB17080"	"treatment"	"Fp"	"treatmentFp"	3.02458577163807e-15	0	1.36962054445316	0.999999999999998	1	0.999999999999998	0.999999999999999	NA	"prevalence"	16	2
"t__SGB17279"	"treatment"	"Fp"	"treatmentFp"	1.37549644299938e-15	0	1.36962054445317	0.999999999999999	1	0.999999999999999	0.999999999999999	NA	"prevalence"	16	2
"t__SGB21445"	"treatment"	"Fp"	"treatmentFp"	6.38661204282417e-16	0	1.09949443313215	1	1	0.667905091190041	0.835062669336761	NA	"prevalence"	16	12
"t__SGB29335"	"treatment"	"Fp"	"treatmentFp"	-1.6665997850983e-15	0	1.36962054445317	0.999999999999999	1	0.877883701764112	0.921320655757649	NA	"prevalence"	16	14
"t__SGB29416"	"treatment"	"Fp"	"treatmentFp"	-3.58069854774736e-15	0	1.36962054445317	0.999999999999998	1	0.999999999999998	0.999999999999999	NA	"prevalence"	16	2
"t__SGB40999"	"treatment"	"Fp"	"treatmentFp"	-9.51172546801118e-16	0	0.970142500145331	0.999999999999999	1	0.705961671307482	0.849261353841539	NA	"prevalence"	16	8
"t__SGB41011"	"treatment"	"Fp"	"treatmentFp"	-6.8610366231527e-16	0	1.09949443313215	1	1	0.202586299559931	0.54054001134537	NA	"prevalence"	16	4
"t__SGB41411"	"treatment"	"Fp"	"treatmentFp"	-7.86779637454842e-17	0	0.970142500145331	1	1	0.343691433180815	0.612865697220656	NA	"prevalence"	16	8
"t__SGB41412"	"treatment"	"Fp"	"treatmentFp"	1.61632351590194e-15	0	0.998166807294563	0.999999999999999	1	0.0593810003491356	0.506911198109566	NA	"prevalence"	16	6
"t__SGB41477"	"treatment"	"Fp"	"treatmentFp"	-8.22441232982792e-16	0	0.970142500145331	0.999999999999999	1	0.793676553616243	0.888681869695871	NA	"prevalence"	16	8
"t__SGB41482"	"treatment"	"Fp"	"treatmentFp"	-1.38470039773377e-16	0	1.09949443313215	1	1	0.211167590576976	0.54054001134537	NA	"prevalence"	16	12
"t__SGB41485"	"treatment"	"Fp"	"treatmentFp"	1.12195158009034e-15	0	0.970142500145331	0.999999999999999	1	0.123917475585107	0.51483239856493	NA	"prevalence"	16	8
"t__SGB41494"	"treatment"	"Fp"	"treatmentFp"	9.51172546801118e-16	0	0.970142500145331	0.999999999999999	1	0.768823486569708	0.888681869695871	NA	"prevalence"	16	8
"t__SGB41498"	"treatment"	"Fp"	"treatmentFp"	-3.22672111686814e-16	0	1.09949443313215	1	1	0.0357993107448355	0.497486973454094	NA	"prevalence"	16	4
"t__SGB41505"	"treatment"	"Fp"	"treatmentFp"	-3.60645464106939e-16	0	1.09949443313215	1	1	0.167605847064785	0.54054001134537	NA	"prevalence"	16	4
"t__SGB41524"	"treatment"	"Fp"	"treatmentFp"	1.37549644299938e-15	0	1.36962054445317	0.999999999999999	1	0.999999999999999	0.999999999999999	NA	"prevalence"	16	2
"t__SGB41580"	"treatment"	"Fp"	"treatmentFp"	6.38661204282417e-16	0	1.09949443313215	1	1	0.000293504472389677	0.11828230237304	NA	"prevalence"	16	12
"t__SGB41596"	"treatment"	"Fp"	"treatmentFp"	-1.38470039773377e-16	0	1.09949443313215	1	1	0.111961748467557	0.513903529743808	NA	"prevalence"	16	12
"t__SGB41624"	"treatment"	"Fp"	"treatmentFp"	1.12195158009034e-15	0	0.970142500145331	0.999999999999999	1	0.979111868326642	0.998941982115536	NA	"prevalence"	16	8
"t__SGB41631"	"treatment"	"Fp"	"treatmentFp"	1.67377577967114e-15	0	1.09949443313215	0.999999999999999	1	0.440490583177894	0.673986224221502	NA	"prevalence"	16	4
"t__SGB41669"	"treatment"	"Fp"	"treatmentFp"	1.12195158009034e-15	0	0.970142500145331	0.999999999999999	1	0.402688441241794	0.673986224221502	NA	"prevalence"	16	8
"t__SGB41670"	"treatment"	"Fp"	"treatmentFp"	-1.39216384032931e-15	0	1.36962054445317	0.999999999999999	1	0.824043057894872	0.907475123796323	NA	"prevalence"	16	14
"t__SGB41671"	"treatment"	"Fp"	"treatmentFp"	4.92765768414146e-16	0	1.09949443313215	1	1	0.44353388794554	0.673986224221502	NA	"prevalence"	16	12
"t__SGB41704"	"treatment"	"Fp"	"treatmentFp"	-7.10032189916722e-16	0	0.970142500145331	1	1	0.639029061769039	0.812393412911429	NA	"prevalence"	16	8
"t__SGB41705"	"treatment"	"Fp"	"treatmentFp"	9.30148687065669e-16	0	0.970142500145331	0.999999999999999	1	0.999985962987334	0.999999999999999	NA	"prevalence"	16	8
"t__SGB41714"	"treatment"	"Fp"	"treatmentFp"	1.12195158009034e-15	0	0.970142500145331	0.999999999999999	1	0.737211882108992	0.878983397899183	NA	"prevalence"	16	8
"t__SGB41731"	"treatment"	"Fp"	"treatmentFp"	-2.96283026106487e-16	0	1.09949443313215	1	1	0.279917929075537	0.54054001134537	NA	"prevalence"	16	4
"t__SGB42949"	"treatment"	"Fp"	"treatmentFp"	-8.43123987451014e-16	0	1.09949443313215	0.999999999999999	1	0.166778652053958	0.54054001134537	NA	"prevalence"	16	12
"t__SGB43067"	"treatment"	"Fp"	"treatmentFp"	-1.39216384032931e-15	0	1.36962054445317	0.999999999999999	1	0.527478576726664	0.717030462292303	NA	"prevalence"	16	14
"t__SGB43253"	"treatment"	"Fp"	"treatmentFp"	-3.58069854774736e-15	0	1.36962054445317	0.999999999999998	1	0.999999999999998	0.999999999999999	NA	"prevalence"	16	2
"t__SGB43502"	"treatment"	"Fp"	"treatmentFp"	2.02636421956615e-16	0	0.998166807294563	1	1	0.371542462078387	0.651007009641696	NA	"prevalence"	16	6
"t__SGB43527"	"treatment"	"Fp"	"treatmentFp"	9.30148687065669e-16	0	0.970142500145331	0.999999999999999	1	0.267546658223351	0.54054001134537	NA	"prevalence"	16	8
"t__SGB44472"	"treatment"	"Fp"	"treatmentFp"	9.51172546801118e-16	0	0.970142500145331	0.999999999999999	1	0.909595728448472	0.947201753397246	NA	"prevalence"	16	8
"t__SGB45230"	"treatment"	"Fp"	"treatmentFp"	1.33516010924015e-15	0	0.998166807294563	0.999999999999999	1	0.840025686284415	0.907475123796323	NA	"prevalence"	16	10
"t__SGB59511"	"treatment"	"Fp"	"treatmentFp"	1.12195158009034e-15	0	0.970142500145331	0.999999999999999	1	0.133359225348193	0.54054001134537	NA	"prevalence"	16	8
"t__SGB59770"	"treatment"	"Fp"	"treatmentFp"	1.96400079749107e-15	0	1.09949443313215	0.999999999999999	1	0.208483046319533	0.54054001134537	NA	"prevalence"	16	4
"t__SGB59774"	"treatment"	"Fp"	"treatmentFp"	9.93220266272016e-16	0	0.970142500145331	0.999999999999999	1	0.256081371244713	0.54054001134537	NA	"prevalence"	16	8
"t__SGB59780"	"treatment"	"Fp"	"treatmentFp"	1.31392056701813e-15	0	0.998166807294563	0.999999999999999	1	0.745695793927771	0.881887328534252	NA	"prevalence"	16	6
"t__SGB59804"	"treatment"	"Fp"	"treatmentFp"	-2.19636574372385e-15	0	1.09949443313215	0.999999999999998	1	0.789883076482383	0.888681869695871	NA	"prevalence"	16	12
"t__SGB65425"	"treatment"	"Fp"	"treatmentFp"	1.08652372053735e-15	0	0.998166807294563	0.999999999999999	1	0.767996580810766	0.888681869695871	NA	"prevalence"	16	6
"t__SGB7271"	"treatment"	"Fp"	"treatmentFp"	-3.22672111686814e-16	0	1.09949443313215	1	1	0.014858534130523	0.374249328412547	NA	"prevalence"	16	4
"t__SGB9258"	"treatment"	"Fp"	"treatmentFp"	7.62097970568268e-16	0	0.998166807294563	1	1	0.828584757380326	0.907475123796323	NA	"prevalence"	16	10
"t__SGB102167"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	2
"t__SGB102250"	"treatment"	"Fp"	"treatmentFp"	0.529278979976933	NA	NA	NA	NA	0.999999999999998	0.999999999999999	"Fitting error (NA p-value returned from fitting procedure)"	"abundance"	16	2
"t__SGB102258"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"No data points have the baseline factor level"	"abundance"	16	2
"t__SGB102286"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	2
"t__SGB102469"	"treatment"	"Fp"	"treatmentFp"	2.47710878330729	NA	NA	NA	NA	0.999999999999998	0.999999999999999	"Fitting error (NA p-value returned from fitting procedure)"	"abundance"	16	2
"t__SGB109669"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	2
"t__SGB109672"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	2
"t__SGB17080"	"treatment"	"Fp"	"treatmentFp"	-0.701918626392246	NA	NA	NA	NA	0.999999999999998	0.999999999999999	"Fitting error (NA p-value returned from fitting procedure)"	"abundance"	16	2
"t__SGB17279"	"treatment"	"Fp"	"treatmentFp"	-6.34199653294015	NA	NA	NA	NA	0.999999999999999	0.999999999999999	"Fitting error (NA p-value returned from fitting procedure)"	"abundance"	16	2
"t__SGB1814"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.102739503442485	0.513903529743808	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	4
"t__SGB29416"	"treatment"	"Fp"	"treatmentFp"	2.52042583857228	NA	NA	NA	NA	0.999999999999998	0.999999999999999	"Fitting error (NA p-value returned from fitting procedure)"	"abundance"	16	2
"t__SGB33580"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.0643178776245766	0.506911198109566	"No data points have the baseline factor level"	"abundance"	16	5
"t__SGB40960"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.160407168421052	0.54054001134537	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	3
"t__SGB40961"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.102739503442485	0.513903529743808	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	4
"t__SGB40962"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.102739503442483	0.513903529743808	"No data points have the baseline factor level"	"abundance"	16	4
"t__SGB40963"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"No data points have the baseline factor level"	"abundance"	16	2
"t__SGB41418"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"No data points have the baseline factor level"	"abundance"	16	2
"t__SGB41444"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.160407168421051	0.54054001134537	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	3
"t__SGB41459"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"No data points have the baseline factor level"	"abundance"	16	2
"t__SGB41479"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"No data points have the baseline factor level"	"abundance"	16	2
"t__SGB41503"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.160407168421052	0.54054001134537	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	3
"t__SGB41524"	"treatment"	"Fp"	"treatmentFp"	4.20397115645231	NA	NA	NA	NA	0.999999999999999	0.999999999999999	"Fitting error (NA p-value returned from fitting procedure)"	"abundance"	16	2
"t__SGB41538"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.102739503442485	0.513903529743808	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	4
"t__SGB41553"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"No data points have the baseline factor level"	"abundance"	16	2
"t__SGB41664"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"No data points have the baseline factor level"	"abundance"	16	2
"t__SGB41713"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	2
"t__SGB42338"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273596	0.54054001134537	"No data points have the baseline factor level"	"abundance"	16	2
"t__SGB43006"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273597	0.54054001134537	"contrasts can be applied only to factors with 2 or more levels"	"abundance"	16	2
"t__SGB43252"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273597	0.54054001134537	"No data points have the baseline factor level"	"abundance"	16	2
"t__SGB43253"	"treatment"	"Fp"	"treatmentFp"	6.89263905351732	NA	NA	NA	NA	0.999999999999998	0.999999999999999	"Fitting error (NA p-value returned from fitting procedure)"	"abundance"	16	2
"t__SGB43261"	"treatment"	"Fp"	"treatmentFp"	NA	NA	NA	NA	NA	0.254925746273597	0.54054001134537	"No data points have the baseline factor level"	"abundance"	16	2
