term	df	SumOfSqs	R2	statistic	p.value_PERMANOVA	Tot.variance_betadisper	Expl.variance_betadisper	p.value_betadisper
genotype	1	0.15376857411071576	0.030546210571083435	1.4956131200250495	0.093	0.09000192266712663	0.18537024211174785	0.002
treatment	2	0.3268180797186986	0.06492258863203444	1.5893800495826258	0.035	0.0985144372886585	0.09178365603084618	0.123
cohort	1	0.19245254274813028	0.038230801902943264	1.8718684853580032	0.038	0.07026253869460092	0.006457828526359491	0.572
Residual	43	4.42096194412231	0.8782264858271559	NA	NA	NA	NA	NA
Total	47	5.033965628989697	1	NA	NA	NA	NA	NA
